# numero-giorno della settimana/mese;titolo;descrizione;url
# es: 3-1/01 => terzo lunedì di gennaio
3-1/01;Blue Monday;Il giorno più triste dell'anno;https://it.wikipedia.org/wiki/Blue_Monday_(data)
3-7/01;Giornata mondiale della neve;;https://worldsnowday.com/
1-1/10;Giornata mondiale dell’habitat;;
3-4/11;Giornata Mondiale della Filosofia;;https://www.un.org/en/observances/philosophy-day/
3-7/11;Giornata Mondiale del Ricordo delle Vittime del Traffico Stradale;;https://worlddayofremembrance.org/
4-5/11;Black Friday;;
